date,symbol,open,close,low,high,volume
2019-07-11,AMZN,101.280998,100.053497,99.764999,101.790001,86356000
2019-07-12,AMZN,100.413498,100.550003,100.193497,100.849998,50186000
2019-07-15,AMZN,101.07,101.0495,100.077499,101.144997,59626000
2019-07-16,AMZN,100.528999,100.495003,100.060997,101.316002,52364000
2019-07-17,AMZN,100.352501,99.601501,99.601501,100.599998,51176000
2019-07-18,AMZN,99.000504,98.894997,97.577499,99.375,69738000
2019-07-19,AMZN,99.560501,98.225998,98.111504,99.800003,63712000
2019-07-22,AMZN,98.556999,99.281502,97.913002,99.449997,58000000
2019-07-23,AMZN,99.7995,99.724503,98.656502,99.889503,54070000
2019-07-24,AMZN,98.464996,100.040497,98.293503,100.065002,52626000
2019-07-25,AMZN,100.050003,98.691002,98.636002,100.059998,82730000
2019-07-26,AMZN,97.099998,97.152496,96.225502,97.544998,98542000
2019-07-29,AMZN,96.5,95.622498,94.527,96.611504,89864000
2019-07-30,AMZN,94.556,94.926498,94.174004,95.494499,58218000
2019-07-31,AMZN,94.905502,93.338997,92.472,94.977501,89414000
2019-08-01,AMZN,93.585999,92.765999,92.2005,94.896004,94266000
2019-08-02,AMZN,92.253502,91.162003,90.401001,92.318001,99124000
2019-08-05,AMZN,88.511002,88.2565,87.439003,89.433502,121164000
2019-08-06,AMZN,89.611504,89.391502,87.669998,89.688499,101406000
2019-08-07,AMZN,88.699501,89.669998,87.849998,89.946503,90538000
2019-08-08,AMZN,90.300003,91.644501,89.905502,91.712997,74024000
2019-08-09,AMZN,91.447502,90.378998,90.111,91.554497,57596000
2019-08-12,AMZN,89.7995,89.246002,88.849998,90.049004,58110000
2019-08-13,AMZN,89.150002,91.217003,89,91.586998,79880000
2019-08-14,AMZN,89.650497,88.148003,87.861,89.782501,97872000
2019-08-15,AMZN,89.099503,88.806,88.098,89.400002,75182000
2019-08-16,AMZN,89.644501,89.628502,89.227501,90.1455,60360000
2019-08-19,AMZN,90.903999,90.806,90.630501,91.300003,56326000
2019-08-20,AMZN,90.724998,90.069,89.994003,90.841003,38590000
2019-08-21,AMZN,90.969498,91.177002,90.75,91.478996,40636000
2019-08-22,AMZN,91.400002,90.233002,90.004997,91.470497,53070000
2019-08-23,AMZN,89.651497,87.481003,87.261497,90.245003,105416000
2019-08-26,AMZN,88.345497,88.443497,87.175499,88.5,61600000
2019-08-27,AMZN,88.786499,88.091499,87.334,88.970001,60394000
2019-08-28,AMZN,87.75,88.212502,87.202499,88.392998,48394000
2019-08-29,AMZN,89.150002,89.32,88.862503,89.927498,60302000
2019-08-30,AMZN,89.874496,88.814499,88.2285,89.987,61174000
2019-09-03,AMZN,88.5,89.491997,88.400002,90.040001,70860000
2019-09-04,AMZN,90.25,90.030998,89.811501,90.3815,46482000
2019-09-05,AMZN,91.097504,92.036003,90.778999,92.099998,66216000
2019-09-06,AMZN,91.911003,91.675499,91.32,92.032501,49938000
2019-09-09,AMZN,92.050003,91.567497,91.230499,92.5,59990000
2019-09-10,AMZN,91.137497,91.027496,90.266998,91.290497,52278000
2019-09-11,AMZN,90.607002,91.149498,90.454002,91.670998,48656000
2019-09-12,AMZN,91.8815,92.177498,91.713997,92.682999,56470000
2019-09-13,AMZN,92.100502,91.967003,91.758499,92.306,39426000
2019-09-16,AMZN,91.200996,90.391998,90.010002,91.2845,73510000
2019-09-17,AMZN,90.353996,91.127502,90.205002,91.199501,39648000
2019-09-18,AMZN,90.851997,90.873001,89.775002,91.102997,50112000
2019-09-19,AMZN,91.051003,91.074997,90.894997,91.628502,40630000
2019-09-20,AMZN,91.085503,89.708,89.045998,91.531502,106838000
2019-09-23,AMZN,88.849998,89.264999,88.365997,89.635002,58446000
2019-09-24,AMZN,89.530502,87.080498,86.777496,89.7855,92320000
2019-09-25,AMZN,87.367996,88.416496,86.150002,88.650002,69864000
2019-09-26,AMZN,88.139503,86.991997,86.574997,88.168503,70736000
2019-09-27,AMZN,87.400002,86.272499,85.691002,87.456001,78144000
2019-09-30,AMZN,86.349503,86.795502,85.460999,86.873001,52894000
2019-10-01,AMZN,87.300003,86.782501,86.420502,87.779999,61690000
2019-10-02,AMZN,86.387001,85.661499,85.25,86.444504,66022000
2019-10-03,AMZN,85.650002,86.221001,84.252998,86.25,69364000
2019-10-04,AMZN,86.301003,86.982498,85.961502,87.028999,49438000
2019-10-07,AMZN,86.581497,86.633003,86.184998,87.391502,43094000
2019-10-08,AMZN,86.124496,85.275497,85.25,86.349998,50840000
2019-10-09,AMZN,85.980499,86.099503,85.718002,86.497498,40870000
2019-10-10,AMZN,86.262001,86.013,85.6875,86.914497,51504000
2019-10-11,AMZN,87.146004,86.596001,86.492996,87.272499,65100000
2019-10-14,AMZN,86.445503,86.821503,86.099998,87.094498,38204000
2019-10-15,AMZN,87.107002,88.369003,87.030998,88.822502,62234000
2019-10-16,AMZN,88.666496,88.871498,88.526001,89.311996,55268000
2019-10-17,AMZN,89.824501,89.374001,89.100998,89.942497,52948000
2019-10-18,AMZN,89.389999,87.875504,87.459999,89.698997,67250000
2019-10-21,AMZN,88.483002,89.282997,88.25,89.293999,42608000
2019-10-22,AMZN,89.407501,88.286499,88.099998,89.488998,42234000
2019-10-23,AMZN,88.065002,88.108498,87.099998,88.502502,42764000
2019-10-24,AMZN,88.554497,89.039001,88.013496,89.417,88922000
2019-10-25,AMZN,84.877502,88.066498,84.75,88.210503,192528000
2019-10-28,AMZN,87.403,88.853996,87.125,88.934998,74178000
2019-10-29,AMZN,88.740501,88.135498,87.790497,88.849998,45538000
2019-10-30,AMZN,88.012001,88.999496,87.956001,89.119003,48988000
2019-10-31,AMZN,88.7995,88.833,88.573997,89.599998,55624000
2019-11-01,AMZN,89.400497,89.571999,89.260498,89.872498,55808000
2019-11-04,AMZN,90.050499,90.233002,90.050499,90.752998,55438000
2019-11-05,AMZN,90.458,90.085503,89.699997,90.512497,37710000
2019-11-06,AMZN,90.050003,89.788498,89.429001,90.125,40596000
2019-11-07,AMZN,90.188004,89.410004,89.174004,90.294998,53022000
2019-11-08,AMZN,89.394501,89.293999,88.702003,89.494003,42466000
2019-11-11,AMZN,88.900002,88.582497,88.356499,89,38920000
2019-11-12,AMZN,88.733002,88.900002,88.595497,89.310997,40752000
2019-11-13,AMZN,88.669502,87.655502,87.365997,88.75,59790000
2019-11-14,AMZN,87.571503,87.730003,87.477997,88.329498,45296000
2019-11-15,AMZN,88.002502,86.974503,86.642998,88.084,78552000
2019-11-18,AMZN,86.915001,87.626503,86.135498,87.684998,56790000
2019-11-19,AMZN,87.849503,87.639503,87.151497,88.033997,45416000
2019-11-20,AMZN,87.457001,87.276497,86.706001,88.125999,55800000
2019-11-21,AMZN,87.150002,86.735497,86.517998,87.343498,53258000
2019-11-22,AMZN,86.950996,87.286003,86.550003,87.321503,49582000
2019-11-25,AMZN,87.662498,88.692001,87.662003,88.871002,69724000
2019-11-26,AMZN,88.996002,89.847,88.917503,89.851501,63624000
2019-11-27,AMZN,90.050003,90.925499,89.865501,91.224998,60512000
2019-11-29,AMZN,90.889,90.040001,90.039497,91.234497,38468000
2019-12-02,AMZN,90.220001,89.080002,88.134003,90.277496,78512000
2019-12-03,AMZN,88,88.498001,87.361504,88.643501,67618000
2019-12-04,AMZN,88.7005,88.0345,88.011002,89.454498,53402000
2019-12-05,AMZN,88.175003,87.024002,87,88.175003,56476000
2019-12-06,AMZN,87.559998,87.580002,87.0065,87.720001,62348000
2019-12-09,AMZN,87.532997,87.475502,87.280502,88.344498,48856000
2019-12-10,AMZN,87.370003,86.960503,86.75,87.533501,50286000
